id,size,xpos,ypos,zpos,xsize,ysize,zsize,weightedx,weightedy,weightedz,minaxis,medaxis,majaxis,eccentricity,elongation,orientation,integratedintensty,sigma,seedIntensity,seedScale,minIntensityForeground,maxIntensityForeground,minIntensityBackground,maxIntensityBackground,volumeForeground,volumeBackground,foregroundIntensity,backgroundIntensity,fg/bg ratio,integratedGradientMag
1,3656,18,7,5,30,18,16,0,0,0,13.7943,17.1245,26.0707,0.592555,1.24142,-1.87604,169.749,0,0.0477587,9,0.042435,0.0507163,0,0.0516935,3656,72876,0.0464301,0.0231805,2.00298,8.79347
65,7058,18,1095,5,30,35,16,0,0,0,13.8668,25.5291,32.5709,0.839619,1.84103,3.13443,348.425,0,0.0482216,9,0.0449554,0.0548826,0,0.0542911,7058,146006,0.0493659,0.0245329,2.01223,17.8638
129,17231,747,691,37,34,35,33,0,0,0,25.2102,30.968,31.2799,0.580764,1.22839,-0.072806,859.105,0,0.0501505,9,0.0453154,0.0550883,0,0.0558342,17231,410193,0.0498582,0.0325094,1.53366,26.5656
193,17331,87,965,56,34,35,33,0,0,0,25.3068,31.0032,31.2699,0.577677,1.22509,3.07636,880.046,0,0.0505877,9,0.0463184,0.0554741,0,0.0572744,17331,421645,0.0507787,0.0321638,1.57875,27.2308
257,9931,640,6,78,33,17,33,0,0,0,16.663,29.7527,30.1336,0.82846,1.78556,-0.00562235,493.682,0,0.0633439,9,0.0460613,0.0715994,0.0422293,0.348276,9931,209557,0.0497112,0.0531261,0.935722,9.00283
321,10152,714,942,93,32,21,33,0,0,0,17.0587,28.0876,30.3336,0.794442,1.64652,-0.00657682,1315.03,0,0.212998,9,0.087699,0.273539,0.0454697,0.385824,10152,428824,0.129535,0.0641023,2.02075,137.423
385,16309,145,136,104,34,33,33,0,0,0,24.0698,30.7563,31.4135,0.62253,1.2778,-2.29884,959.063,0,0.101587,9,0.0463442,0.246277,0,0.569863,16309,422667,0.0588058,0.0326036,1.80366,52.8629
449,4567,576,6,114,24,17,27,0,0,0,15.0179,19.5546,25.3541,0.640457,1.30209,0.558552,1004.84,0,0.324795,9,0.132551,0.610781,0.0430779,0.520253,4567,214921,0.220021,0.0807287,2.72544,138.208
513,11897,619,870,120,29,28,33,0,0,0,22.7249,24.6615,30.5363,0.388445,1.08522,2.63376,1522.91,0,0.302549,9,0.0880848,0.412134,0.0462413,0.473395,11897,427079,0.128008,0.0754956,1.69557,147.674
577,20389,228,105,125,35,33,35,0,0,0,29.4365,30.3719,31.2772,0.246269,1.03178,-0.00807638,1948.97,0,0.471363,9,0.0491217,0.584626,0,0.516755,20389,418587,0.0955895,0.0583267,1.63886,237.802
641,8213,252,734,131,27,26,31,0,0,0,19.2537,23.3695,28.467,0.566761,1.21377,2.64871,1217.53,0,0.304452,9,0.0977034,0.465396,0.045264,0.456909,8213,430763,0.148244,0.0707674,2.09481,153.358
705,16298,178,691,131,33,35,33,0,0,0,23.9593,30.99,31.3819,0.634249,1.29344,0.434207,944.289,0,0.0680503,9,0.0495589,0.11334,0,0.447291,16298,422678,0.0579391,0.0364907,1.58777,37.4667
769,7287,315,29,138,25,23,29,0,0,0,18.6892,19.6777,28.158,0.312973,1.0529,1.62653,1980.58,0,0.540725,9,0.159658,0.632667,0.0449554,0.497312,7287,379705,0.271797,0.0755026,3.59983,258.209
833,11156,581,259,140,27,27,33,0,0,0,21.3708,24.3928,30.0762,0.482105,1.1414,2.14227,1455.7,0,0.295065,9,0.0893192,0.438238,0.0458041,0.647378,11156,427820,0.130486,0.0680787,1.91669,147.908
897,4454,449,199,145,23,14,33,0,0,0,11.4622,18.22,30.881,0.777325,1.58957,-3.14145,1013.1,0,0.416995,9,0.137284,0.482653,0.0452383,0.598025,4454,434522,0.227459,0.0728702,3.12142,158.497
961,10003,382,423,149,31,21,32,0,0,0,18.037,25.305,30.9722,0.701384,1.40295,2.95897,1338.03,0,0.27089,9,0.090528,0.391045,0.0459327,0.580356,10003,428973,0.133763,0.074093,1.80534,151.658
1025,12734,393,874,152,32,29,32,0,0,0,24.0318,27.3037,29.0933,0.474668,1.13615,-1.96758,2590.98,0,0.400792,9,0.127022,0.431268,0.0487874,0.437389,12734,426242,0.20347,0.0850563,2.39218,275.178
1089,17180,816,1112,156,33,33,33,0,0,0,26.6183,29.1742,31.2003,0.409321,1.09602,0.299034,2349.1,0,0.297611,9,0.0929198,0.339429,0.0487617,0.332588,17180,421796,0.136734,0.0949283,1.44039,175.519
1153,12551,750,777,161,31,26,33,0,0,0,24.0337,24.8004,30.0027,0.246732,1.0319,0.2105,1582.98,0,0.21683,9,0.0884705,0.345832,0.0495589,0.491217,12551,426425,0.126124,0.0831218,1.51734,150.115
1217,18849,873,608,165,33,33,35,0,0,0,28.1561,29.7408,31.4434,0.322066,1.05628,0.472018,2354.79,0,0.262377,9,0.063241,0.327032,0,0.496695,18849,420127,0.124929,0.0812708,1.5372,224.322
1281,11247,716,103,169,31,27,31,0,0,0,22.186,26.7813,27.5386,0.56012,1.20713,-2.30417,2076.84,0,0.304735,9,0.116709,0.394105,0.0471157,0.623177,11247,427729,0.184657,0.0921108,2.00472,226.357
1345,10285,385,400,174,31,22,34,0,0,0,17.4533,27.3246,30.923,0.769422,1.56558,-0.147777,1671.54,0,0.461281,9,0.106576,0.580356,0.0481187,0.690019,10285,428691,0.162523,0.0877647,1.8518,207.736
1409,14823,515,895,178,31,33,33,0,0,0,24.5785,28.1909,30.7595,0.489756,1.14697,-0.964572,2287.15,0,0.28236,9,0.101613,0.311962,0.0487102,0.420647,14823,424153,0.154297,0.0870848,1.7718,205.78
